id,Hash,Product,Size,Purchase Date,Purchase Price,Location
1,088ec60b7cf2e357c2481b731fd251597ca4ad93,1,4,2016-09-23 00:00:00.000000,6.99,1
2,cdffc40fbf12c9fe68b1ded4ff21055db384c09a,2,4,2016-09-23 00:00:00.000000,7.79,1
3,8797b6393ac3b5a4977d1a0f348a87b0611790a6,3,12,2016-09-23 00:00:00.000000,7.29,2
4,0e23355a6641d84e21386047643b05d4a02996af,4,4,2016-09-28 00:00:00.000000,7.8,1
5,a74faaf496cf494f34ddcb48034b5d0dfa3a02bf,5,12,2016-09-28 00:00:00.000000,11.65,2
6,c0500bba46fe54885e4b47ac79c309e1280f2bda,6,4,2015-07-10 00:00:00.000000,5.0,1
