id,hash,session,app_notes,app_score,smoke_notes,smoke_score,taste_notes,taste_score,overall_notes,overall_score
1,088ec60b7cf2e357c2481b731fd251597ca4ad93,1,,15,,20,,20,,20
2,0e23355a6641d84e21386047643b05d4a02996af,2,,15,,20,Lots of peppery spice and some woodiness.,20,,25
3,c0500bba46fe54885e4b47ac79c309e1280f2bda,3,,12,,15,,20,Very mild,25
4,cdffc40fbf12c9fe68b1ded4ff21055db384c09a,4,,14,"Somewhat uneven burn. This may have been my own fault due to smoking while changing the oil in the car.

Otherwise it semed totally fine.",20,,20,,25
